Year,Gadiformes,Gaidropsarus spp,Micromesistius poutassou,Molva dypterygia,Phycis blennoides,Phycis phycis,Phycis spp,Trisopterus luscus,Trisopterus minutus,Total
1950,0,0,3900,0,300,0,0,500,0,4700
1951,0,0,3300,0,300,0,0,600,0,4200
1952,100,0,5600,0,300,0,0,700,0,6700
1953,0,0,9000,0,300,0,0,900,0,10200
1954,0,0,9000,0,300,0,0,1000,0,10300
1955,0,0,5200,0,300,0,0,1000,0,6500
1956,0,0,5700,0,300,0,0,1000,0,7000
1957,0,0,6600,0,300,0,0,1000,0,7900
1958,0,0,8100,0,200,0,0,1100,0,9400
1959,0,0,6600,0,500,0,0,1100,0,8200
1960,0,0,5300,0,400,0,0,1000,0,6700
1961,0,0,6000,0,500,0,0,800,0,7300
1962,300,0,5200,0,400,0,0,800,0,6700
1963,400,0,9300,0,700,0,0,900,0,11300
1964,400,0,12300,0,900,0,0,1200,0,14800
1965,300,0,8500,0,800,0,0,1000,0,10600
1966,700,0,6800,0,700,0,0,1000,0,9200
1967,700,0,6400,0,500,0,0,900,0,8500
1968,1000,0,6800,0,600,0,0,800,0,9200
1969,700,0,6600,0,600,0,0,1000,0,8900
1970,490,0,6811,0,51,0,0,800,0,8152
1971,519,0,9055,0,24,0,0,800,0,10398
1972,100,0,8902,0,61,0,0,800,600,10463
1973,200,0,7721,0,0,0,0,600,600,9121
1974,90,0,8876,0,540,0,0,700,1145,11351
1975,171,0,7451,0,606,0,0,836,1427,10491
1976,194,0,7710,0,524,0,0,789,1293,10510
1977,69,0,9650,0,714,0,0,629,927,11989
1978,62,0,8453,0,991,0,0,441,901,10848
1979,12,0,17724,0,665,0,0,428,1006,19835
1980,92,0,15378,0,530,0,0,428,1141,17569
1981,303,0,12331,0,473,0,0,411,1146,14664
1982,10,0,15327,0,538,0,0,453,1116,17444
1983,3,0,15431,0,529,0,0,422,963,17348
1984,78,0,13183,0,518,0,0,390,816,14985
1985,29,0,10119,0,605,0,0,503,781,12037
1986,8,0,10987,0,811,0,0,716,890,13412
1987,1377,0,15159,0,774,0,0,708,843,18861
1988,2334,0,10077,0,574,0,0,4,967,13956
1989,1091,0,10281,0,532,0,0,5,994,12903
1990,2022,0,9268,0,493,0,0,3,990,12776
1991,2527,0,11703,0,566,0,0,2,996,15794
1992,3028,0,16215,0,547,0,0,3,1047,20840
1993,3551,0,18842,0,361,0,0,1,1084,23839
1994,4042,0,19403,0,281,0,0,2,711,24439
1995,4557,0,17929,0,246,0,0,5,586,23323
1996,4858,0,18854,1,226,0,0,313,603,24855
1997,4055,0,20965,1,241,0,0,388,428,26078
1998,1341,0,32278,1,346,0,0,402,428,34796
1999,789,20,23530,0,209,0,0,380,927,25855
2000,871,19,26317,0,129,0,0,274,1564,29174
2001,1097,19,27933,0,109,0,0,190,1218,30566
2002,317,39,14906,0,406,0,0,58,1478,17204
2003,395,19,11904,0,417,0,0,142,1191,14068
2004,80,20,9664,0,418,0,238,159,1205,11784
2005,94,0,10716,0,579,105,280,155,3290,15219
2006,107,0,14958,0,705,280,314,146,2761,19271
2007,83,12,12162,0,603,295,295,125,2278,15853
2008,69,15,6378,0,633,245,223,105,1458,9126
2009,74,10,5797,0,630,369,233,1339,1431,9883
2010,98,1,5451,0,713,407,264,1334,1693,9961
2011,74,5,4979,0,724,466,152,820,2085,9305
2012,52,4,3192,0,400,405,122,974,954,6103
2013,93,3,3729,0,448,452,76,1112,1369,7282
2014,39,5,2879,0,383,512,56,719,1172,5765
2015,85,6,2166,0,603,432,72,798,1044,5206
2016,112,8,2007,0,600.16,413,81,965,1314,5500.16
2017,91,9,2316,1,672.8,397,81,1015,1357,5939.8
2018,46,10,3241,2,1048,290,54,898,1827,7416
